Scenario,Country,Energy_carrier,Sector,Region,Name_Region,Subsector,Application,Technologie,latitude,longitude,Unit,2021,2025,2030,2035,2040,2045,2050,index_right0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE139,Lörrach,Lime ,CO2 capture,,47.658803,7.546019,CO2-Abscheidung [Mt/a],0.08513394061401341,0.06621528714423267,0.0794583445730792,0.06621528714423267,0.06053969110329843,0.056755960409342276,0.056755960409342276,52.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE226,Kelheim,Lime ,CO2 capture,,49.008715,11.824687,CO2-Abscheidung [Mt/a],0.14012201489813172,0.10898378936521355,0.13078054723825627,0.10898378936521355,0.09964232170533811,0.09341467659875448,0.09341467659875448,55.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA59,Olpe,Lime ,CO2 capture,,51.14033,8.025404,CO2-Abscheidung [Mt/a],0.024596615522402936,0.019130700961868953,0.022956841154242742,0.019130700961868953,0.017490926593708756,0.016397743681601958,0.016397743681601958,46.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE723,Limburg-Weilburg,Lime ,CO2 capture,,50.419099,8.1118,CO2-Abscheidung [Mt/a],0.1368526557075725,0.10644095443922304,0.12772914532706764,0.10644095443922304,0.09731744405871821,0.09123510380504832,0.09123510380504832,273.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEB1A,Rhein-Lahn-Kreis,Lime ,CO2 capture,,50.317605,8.065701,CO2-Abscheidung [Mt/a],0.1475427833040483,0.11475549812537089,0.13770659775044508,0.11475549812537089,0.10491931257176768,0.09836185553603219,0.09836185553603219,356.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA5B,Soest,Lime ,CO2 capture,,51.436859,8.373872,CO2-Abscheidung [Mt/a],0.06995027793222357,0.05440577172506277,0.06528692607007533,0.05440577172506277,0.049742419862914534,0.04663351862148238,0.04663351862148238,5.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE232,"Regensburg, Kreisfreie Stadt",Lime ,CO2 capture,,49.029909,12.1388,CO2-Abscheidung [Mt/a],0.07878024476750532,0.0612735237080597,0.07352822844967165,0.0612735237080597,0.056021507390226016,0.05252016317833688,0.05252016317833688,306.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEB24,Vulkaneifel,Lime ,CO2 capture,,50.334174,6.766811,CO2-Abscheidung [Mt/a],0.02570391040774836,0.019991930317137613,0.023990316380565136,0.019991930317137613,0.01827833628995439,0.01713594027183224,0.01713594027183224,451.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA42,Gütersloh,Lime ,CO2 capture,,52.040867,8.399409,CO2-Abscheidung [Mt/a],0.004498267130850043,0.003498652212883367,0.00419838265546004,0.003498652212883367,0.003198767737493364,0.002998844753900029,0.002998844753900029,446.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEB24,Vulkaneifel,Lime ,CO2 capture,,50.230564,6.682924,CO2-Abscheidung [Mt/a],0.00012965760505601493,0.00010084480393245606,0.00012101376471894728,0.00010084480393245606,9.22009635953884e-05,8.643840337067662e-05,8.643840337067662e-05,451.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA1C,Mettmann,Lime ,CO2 capture,,51.296801,7.014936,CO2-Abscheidung [Mt/a],0.9186960588586842,0.71454137911231,0.857449654934772,0.71454137911231,0.6532949751883977,0.6124640392391228,0.6124640392391228,437.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA57,Hochsauerlandkreis,Lime ,CO2 capture,,51.394949,8.684995,CO2-Abscheidung [Mt/a],0.03276315182915106,0.025482451422673046,0.030578941707207655,0.025482451422673046,0.023298241300729643,0.02184210121943404,0.02184210121943404,497.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA58,Märkischer Kreis,Lime ,CO2 capture,,51.397085,7.840698,CO2-Abscheidung [Mt/a],0.39661314992582347,0.3084768943867516,0.3701722732641019,0.3084768943867516,0.28203601772503,0.26440876661721563,0.26440876661721563,498.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE923,Hameln-Pyrmont,Lime ,CO2 capture,,52.059197,9.588666,CO2-Abscheidung [Mt/a],0.004915632122730371,0.0038232694287902887,0.004587923314548346,0.0038232694287902887,0.003495560620608264,0.0032770880818202472,0.0032770880818202472,32.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA37,Steinfurt,Lime ,CO2 capture,,52.264047,7.396877,CO2-Abscheidung [Mt/a],0.011933704899159021,0.009281770477123683,0.01113812457254842,0.009281770477123683,0.008486190150513082,0.007955803266106013,0.007955803266106013,334.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE27D,Donau-Ries,Lime ,CO2 capture,,48.775785,10.699442,CO2-Abscheidung [Mt/a],0.079413390302399,0.061765970235199225,0.07411916428223907,0.061765970235199225,0.05647174421503929,0.05294226020159933,0.05294226020159933,374.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA37,Steinfurt,Lime ,CO2 capture,,52.162646,7.968648,CO2-Abscheidung [Mt/a],0.07212085982032505,0.056094002082475045,0.06731280249897005,0.056094002082475045,0.05128594476112004,0.04808057321355004,0.04808057321355004,334.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE24B,Kulmbach,Lime ,CO2 capture,,50.027914,11.308923,CO2-Abscheidung [Mt/a],0.0016581030955496795,0.0012896357409830838,0.0015475628891797007,0.0012896357409830838,0.0011790955346131053,0.0011054020636997862,0.0011054020636997862,143.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE925,Hildesheim,Lime ,CO2 capture,,52.170477,9.79339,CO2-Abscheidung [Mt/a],0.0634285950385594,0.049333351696657306,0.059200022035988766,0.049333351696657306,0.04510477869408668,0.042285730025706264,0.042285730025706264,28.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE91B,Wolfenbüttel,Lime ,CO2 capture,,52.023237,10.545917,CO2-Abscheidung [Mt/a],0.03132792731982775,0.024366165693199365,0.02923939883183924,0.024366165693199365,0.02227763720521085,0.02088528487988517,0.02088528487988517,281.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEE07,Börde,Lime ,CO2 capture,,52.07113,11.385048,CO2-Abscheidung [Mt/a],0.05105244540075288,0.03970745753391891,0.04764894904070269,0.03970745753391891,0.036303961173868714,0.03403496360050192,0.03403496360050192,252.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE93A,Uelzen,Lime ,CO2 capture,,52.977112,10.558518,CO2-Abscheidung [Mt/a],0.07617904820891792,0.05925037082915839,0.07110044499499008,0.05925037082915839,0.05417176761523053,0.05078603213927862,0.05078603213927862,113.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE91A,Peine,Lime ,CO2 capture,,52.233195,10.034605,CO2-Abscheidung [Mt/a],0.02707146689043885,0.021055585359230217,0.02526670243107626,0.021055585359230217,0.019250820899867627,0.0180476445936259,0.0180476445936259,396.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE737,Werra-Meißner-Kreis,Lime ,CO2 capture,,51.205803,9.907445,CO2-Abscheidung [Mt/a],0.02362039786671141,0.018371420562997762,0.022045704675597317,0.018371420562997762,0.01679672737188367,0.01574693191114094,0.01574693191114094,29.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE145,Alb-Donau-Kreis,Lime ,CO2 capture,,48.423419,9.904178,CO2-Abscheidung [Mt/a],0.07040029393600834,0.05475578417245093,0.06570694100694112,0.05475578417245093,0.050062431243383713,0.046933529290672224,0.046933529290672224,388.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE236,Neumarkt i. d. OPf.,Lime ,CO2 capture,,49.364916,11.604835,CO2-Abscheidung [Mt/a],0.024093127596425425,0.018739099241664222,0.022486919089997066,0.018739099241664222,0.01713289073523586,0.016062085064283617,0.016062085064283617,90.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA26,Düren,Lime ,CO2 capture,,50.915255,6.371579,CO2-Abscheidung [Mt/a],0.08549972648647484,0.0664997872672582,0.07979974472070986,0.0664997872672582,0.06079980550149322,0.056999817657649894,0.056999817657649894,433.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA28,Euskirchen,Lime ,CO2 capture,,50.657406,6.810538,CO2-Abscheidung [Mt/a],0.041957484929023646,0.03263359938924062,0.03916031926708874,0.03263359938924062,0.029836433727305708,0.027971656619349097,0.027971656619349097,406.0
